bins,counts_sim_all,correct_sim_all,accuracy_sim_all,counts_sim_true_class,correct_sim_true_class,accuracy_sim_true_class,counts_sim_false_class,correct_sim_false_class,accuracy_sim_false_class
0-0.1,1,1,1.0,1,1,1.0,1,1,1.0
0.1-0.2,60,39,0.65,95,50,0.5263157894736842,125,87,0.696
0.2-0.3,192,131,0.6822916666666666,183,133,0.726775956284153,174,121,0.6954022988505747
0.3-0.4,101,86,0.8514851485148515,84,78,0.9285714285714286,67,57,0.8507462686567164
0.4-0.5,36,32,0.8888888888888888,29,29,1.0,25,25,1.0
0.5-0.6,11,11,1.0,9,9,1.0,9,9,1.0
0.6-0.7,0,0,,0,0,,0,0,
0.7-0.8,0,0,,0,0,,0,0,
0.8-0.9,0,0,,0,0,,0,0,
0.8-0.9,0,0,,0,0,,0,0,
